stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
8313_51,,大梅寺前,,38.257759,140.809968,8313_51,,0,,,,
8315_11,,広瀬病院前,,38.254649,140.809577,8315_11,,0,,,,
8315_51,,広瀬病院前,,38.254645,140.809725,8315_51,,0,,,,
8317_11,,綱木,,38.251909,140.805654,8317_11,,0,,,,
8317_51,,綱木,,38.252274,140.806474,8317_51,,0,,,,
8319_11,,松倉・盲導犬訓練センター前,,38.247195,140.798952,8319_11,,0,,,,
8319_51,,松倉・盲導犬訓練センター前,,38.247383,140.799604,8319_51,,0,,,,
8321_11,,梨野,,38.239779,140.791240,8321_11,,0,,,,
8321_51,,梨野,,38.239814,140.792389,8321_51,,0,,,,
8323_11,,茂庭台四丁目,,38.241042,140.787138,8323_11,,0,,,,
8323_51,,茂庭台四丁目,,38.240575,140.787497,8323_51,,0,,,,
8327_11,,茂庭台五丁目,,38.240113,140.783364,8327_11,,0,,,,
8327_51,,茂庭台五丁目,,38.239519,140.782979,8327_51,,0,,,,
8331_11,,茂庭台中央,,38.235207,140.781286,8331_11,,0,,,,
8331_51,,茂庭台中央,,38.234580,140.781457,8331_51,,0,,,,
8333_0,,茂庭台一丁目南,,38.230351,140.783760,8333_0,,0,,,,
8335_0,,茂庭台一丁目,,38.231164,140.782649,8335_0,,0,,,,
8335_11,,茂庭台一丁目,,38.231256,140.782188,8335_11,,0,,,,
8335_51,,茂庭台一丁目,,38.231166,140.782652,8335_51,,0,,,,
8337_11,,涌沢,,38.231721,140.788734,8337_11,,0,,,,
8337_51,,涌沢,,38.231599,140.788832,8337_51,,0,,,,
8339_11,,茂庭本郷,,38.228493,140.790115,8339_11,,0,,,,
8339_51,,茂庭本郷,,38.228889,140.790070,8339_51,,0,,,,
8341_0,,生出市民センター前,,38.221572,140.791107,8341_0,,0,,,,
8341_11,,生出市民センター前,,38.221433,140.791095,8341_11,,0,,,,
8343_11,,茂庭,,38.219403,140.787015,8343_11,,0,,,,
8345_11,,生出橋,,38.217291,140.786075,8345_11,,0,,,,
8346_10,,生出郵便局前,,38.222136,140.786959,8346_10,,0,,,,
8351_11,,落合駅前,,38.272894,140.788788,8351_11,,0,,,,
8351_51,,落合駅前,,38.272654,140.789731,8351_51,,0,,,,
8353_0,,陸前落合駅,,38.273205,140.790562,8353_0,,0,,,,
8353_10,,陸前落合駅,,38.273209,140.790562,8353_10,,0,,,,
8401_10,,落合駅入口,,38.274188,140.793600,8401_10,,0,,,,
8401_50,,落合駅入口,,38.274783,140.793326,8401_50,,0,,,,
8403_10,,大竹新田,,38.276854,140.791858,8403_10,,0,,,,
8403_50,,大竹新田,,38.276614,140.792032,8403_50,,0,,,,
8404_50,,向田入口,,38.278329,140.790287,8404_50,,0,,,,
8405_10,,大竹南,,38.279580,140.789310,8405_10,,0,,,,
8405_50,,大竹南,,38.280770,140.788984,8405_50,,0,,,,
8407_10,,大竹,,38.283689,140.788436,8407_10,,0,,,,
8407_50,,大竹,,38.283018,140.788615,8407_50,,0,,,,
8409_10,,的場,,38.285546,140.787078,8409_10,,0,,,,
8409_50,,的場,,38.286091,140.786492,8409_50,,0,,,,
8411_10,,芋沢綱木,,38.288967,140.784282,8411_10,,0,,,,
8411_50,,芋沢綱木,,38.288752,140.784366,8411_50,,0,,,,
8412_10,,長泉寺前,,38.291174,140.781361,8412_10,,0,,,,
8412_50,,長泉寺前,,38.291033,140.781272,8412_50,,0,,,,
8413_10,,下辺田,,38.293896,140.778546,8413_10,,0,,,,
8413_50,,下辺田,,38.293795,140.778446,8413_50,,0,,,,
8415_10,,芋沢唄坂,,38.295784,140.776398,8415_10,,0,,,,
8415_50,,芋沢唄坂,,38.295622,140.776421,8415_50,,0,,,,
8417_10,,芋沢明神,,38.300934,140.771684,8417_10,,0,,,,
8417_50,,芋沢明神,,38.300463,140.771982,8417_50,,0,,,,
8418_10,,芋沢平,,38.302999,140.770278,8418_10,,0,,,,
8419_10,,大沢市民センター前,,38.303927,140.771414,8419_10,,0,,,,
8419_50,,大沢市民センター前,,38.303991,140.771422,8419_50,,0,,,,
8421_10,,みやぎ台一丁目,,38.306013,140.772828,8421_10,,0,,,,
8421_50,,みやぎ台一丁目,,38.306046,140.772788,8421_50,,0,,,,
8423_10,,みやぎ台二丁目東,,38.307338,140.773662,8423_10,,0,,,,
8423_50,,みやぎ台二丁目東,,38.307226,140.773685,8423_50,,0,,,,
8425_10,,みやぎ台二丁目,,38.309450,140.771478,8425_10,,0,,,,
8425_50,,みやぎ台二丁目,,38.309118,140.771704,8425_50,,0,,,,
8427_10,,みやぎ台三丁目,,38.311073,140.769780,8427_10,,0,,,,
8427_50,,みやぎ台三丁目,,38.311131,140.769615,8427_50,,0,,,,
8429_10,,みやぎ台四丁目,,38.312447,140.766197,8429_10,,0,,,,
8429_50,,みやぎ台四丁目,,38.312446,140.765949,8429_50,,0,,,,
8431_10,,みやぎ台五丁目,,38.312741,140.762753,8431_10,,0,,,,
8431_50,,みやぎ台五丁目,,38.312770,140.762873,8431_50,,0,,,,
8433_10,,横手,,38.309792,140.760861,8433_10,,0,,,,
8433_50,,横手,,38.309451,140.761417,8433_50,,0,,,,
8435_10,,上新田,,38.311116,140.755981,8435_10,,0,,,,
8437_0,,白坂,,38.312807,140.752173,8437_0,,0,,,,
8437_10,,白坂,,38.312808,140.752180,8437_10,,0,,,,
8439_10,,大國神社入口,,38.316203,140.749619,8439_10,,0,,,,
8441_0,,大國神社前,,38.317185,140.749088,8441_0,,0,,,,
8441_10,,大國神社前,,38.317181,140.749085,8441_10,,0,,,,
8461_10,,大竹原,,38.279845,140.780558,8461_10,,0,,,,
8461_50,,大竹原,,38.279750,140.780603,8461_50,,0,,,,
8463_10,,大竹原上,,38.280717,140.774848,8463_10,,0,,,,
8463_50,,大竹原上,,38.280604,140.774843,8463_50,,0,,,,
8465_10,,二本松,,38.283242,140.767611,8465_10,,0,,,,
8465_50,,二本松,,38.283213,140.767528,8465_50,,0,,,,
8467_10,,佛國寺前,,38.285875,140.756324,8467_10,,0,,,,
8467_50,,佛國寺前,,38.285816,140.756284,8467_50,,0,,,,
8469_10,,赤坂下,,38.286960,140.751039,8469_10,,0,,,,
8469_50,,赤坂下,,38.286927,140.751010,8469_50,,0,,,,
8471_10,,赤坂,,38.288672,140.747809,8471_10,,0,,,,
8471_50,,赤坂,,38.288291,140.748236,8471_50,,0,,,,
8473_10,,青野木下,,38.290647,140.738493,8473_10,,0,,,,
8475_10,,青野木中,,38.290712,140.732529,8475_10,,0,,,,
8477_10,,青野木馬場前,,38.293817,140.725887,8477_10,,0,,,,
8479_10,,青野木,,38.295889,140.721927,8479_10,,0,,,,
8481_10,,赤坂一丁目東,,38.291895,140.752954,8481_10,,0,,,,
8481_50,,赤坂一丁目東,,38.291405,140.753195,8481_50,,0,,,,
8483_10,,赤坂一丁目,,38.293194,140.749827,8483_10,,0,,,,
8483_50,,赤坂一丁目,,38.293149,140.749637,8483_50,,0,,,,
8485_10,,赤坂二丁目,,38.293485,140.745691,8485_10,,0,,,,
8485_50,,赤坂二丁目,,38.293403,140.745972,8485_50,,0,,,,
8487_0,,赤坂三丁目,,38.292337,140.743071,8487_0,,0,,,,
8487_10,,赤坂三丁目,,38.292149,140.742784,8487_10,,0,,,,
8487_50,,赤坂三丁目,,38.292336,140.743073,8487_50,,0,,,,
8491_10,,上辺田,,38.295925,140.767702,8491_10,,0,,,,
8493_10,,横前,,38.293526,140.761930,8493_10,,0,,,,
8493_50,,横前,,38.293584,140.761961,8493_50,,0,,,,
8495_10,,大沢中学校前,,38.290759,140.751316,8495_10,,0,,,,
8495_50,,大沢中学校前,,38.290822,140.751314,8495_50,,0,,,,
8497_10,,川前小学校前,,38.290246,140.748113,8497_10,,0,,,,
8497_50,,川前小学校前,,38.290263,140.748053,8497_50,,0,,,,
8498_10,,畑前,,38.298886,140.717189,8498_10,,0,,,,
8499_0,,畑前北,,38.303724,140.714025,8499_0,,0,,,,
8499_10,,畑前北,,38.303720,140.714156,8499_10,,0,,,,
8501_10,,広瀬中学校前,,38.273698,140.764394,8501_10,,0,,,,
8501_50,,広瀬中学校前,,38.273913,140.764271,8501_50,,0,,,,
8503_10,,開成橋,,38.279650,140.763010,8503_10,,0,,,,
8503_50,,開成橋,,38.279640,140.762816,8503_50,,0,,,,
8505_10,,花坂下,,38.281078,140.757438,8505_10,,0,,,,
8505_50,,花坂下,,38.280837,140.757872,8505_50,,0,,,,
8507_10,,中原浄水場前,,38.282812,140.756808,8507_10,,0,,,,
8507_50,,中原浄水場前,,38.282803,140.756714,8507_50,,0,,,,
8601_10,,折葉,,38.283372,140.683455,8601_10,,0,,,,
8602_10,,ＪＡ仙台秋保店入口,,38.263798,140.673224,8602_10,,0,,,,
8602_50,,ＪＡ仙台秋保店入口,,38.263766,140.673305,8602_50,,0,,,,
8603_10,,秋保中学校前,,38.260270,140.672520,8603_10,,0,,,,1
8603_50,,秋保中学校前,,38.259897,140.672573,8603_50,,0,,,,2
8603_51,,秋保中学校前,,38.259806,140.672719,8603_51,,0,,,,3
8605_10,,秋保郵便局前,,38.257628,140.676879,8605_10,,0,,,,
8605_50,,秋保郵便局前,,38.257139,140.677501,8605_50,,0,,,,
8607_10,,長袋,,38.255664,140.679582,8607_10,,0,,,,
8609_10,,境野,,38.248937,140.686977,8609_10,,0,,,,
8609_50,,境野,,38.248876,140.686853,8609_50,,0,,,,
8611_10,,鴻の巣温泉,,38.247352,140.690371,8611_10,,0,,,,
8613_10,,神ケ根温泉,,38.246558,140.692788,8613_10,,0,,,,
8615_10,,七森,,38.241931,140.702636,8615_10,,0,,,,
8617_10,,橋本,,38.237474,140.708272,8617_10,,0,,,,
8619_10,,太夫原,,38.233122,140.711328,8619_10,,0,,,,
8621_10,,湯向,,38.229844,140.718579,8621_10,,0,,,,
8621_50,,湯向,,38.229727,140.718378,8621_50,,0,,,,
8623_10,,湯元市民センター前,,38.228279,140.726234,8623_10,,0,,,,
8623_50,,湯元市民センター前,,38.228342,140.726256,8623_50,,0,,,,
8624_10,,湯元保育所前,,38.229792,140.722916,8624_10,,0,,,,
8624_50,,湯元保育所前,,38.229912,140.722840,8624_50,,0,,,,
8625_10,,磊々峡入口,,38.225141,140.728177,8625_10,,0,,,,
8625_50,,磊々峡入口,,38.225224,140.728263,8625_50,,0,,,,
8627_10,,秋保・里センター,,38.224958,140.726675,8627_10,,0,,,,
8631_10,,青木,,38.227479,140.726966,8631_10,,0,,,,
8631_50,,青木,,38.227339,140.727051,8631_50,,0,,,,
8641_10,,並木,,38.260290,140.671199,8641_10,,0,,,,
8643_10,,大東,,38.263334,140.664060,8643_10,,0,,,,
8645_10,,秋保神社前,,38.263489,140.661030,8645_10,,0,,,,
8647_10,,野中,,38.264640,140.657857,8647_10,,0,,,,
8649_10,,加沢,,38.267552,140.651904,8649_10,,0,,,,
8651_10,,馬場,,38.268267,140.648512,8651_10,,0,,,,
8653_10,,馬場小学校前,,38.269642,140.644327,8653_10,,0,,,,
8653_50,,馬場小学校前,,38.269688,140.644071,8653_50,,0,,,,
8655_10,,田尻,,38.271872,140.636186,8655_10,,0,,,,
8657_0,,上ノ原,,38.271041,140.631472,8657_0,,0,,,,
8657_10,,上ノ原,,38.271130,140.631472,8657_10,,0,,,,
8659_10,,深野,,38.269928,140.619249,8659_10,,0,,,,
8659_50,,深野,,38.269732,140.619473,8659_50,,0,,,,
8661_10,,滝の原,,38.272053,140.613713,8661_10,,0,,,,
8663_10,,丸山,,38.272432,140.608955,8663_10,,0,,,,
8665_10,,秋保大滝,,38.273439,140.604185,8665_10,,0,,,,
8667_10,,野尻,,38.269401,140.577185,8667_10,,0,,,,
8668_0,,野尻町北,,38.270165,140.572699,8668_0,,0,,,,
8668_10,,野尻町北,,38.270198,140.572709,8668_10,,0,,,,
8698_10,,高野原二丁目,,38.287829,140.768285,8698_10,,0,,,,
8698_50,,高野原二丁目,,38.287759,140.767971,8698_50,,0,,,,
8699_10,,高野原三丁目,,38.288512,140.762636,8699_10,,0,,,,
8699_50,,高野原三丁目,,38.288397,140.762665,8699_50,,0,,,,
8700_10,,高野原四丁目,,38.289577,140.757083,8700_10,,0,,,,
8700_50,,高野原四丁目,,38.289493,140.756977,8700_50,,0,,,,
8711_10,,熊ケ根,,38.293678,140.689643,8711_10,,0,,,,
8711_50,,熊ケ根,,38.293779,140.689568,8711_50,,0,,,,
8713_10,,大手門入口,,38.295643,140.691504,8713_10,,0,,,,
8713_50,,大手門入口,,38.295967,140.691677,8713_50,,0,,,,
8715_10,,大原,,38.297627,140.697285,8715_10,,0,,,,
8717_10,,小原,,38.302509,140.700872,8717_10,,0,,,,
8719_10,,小原上,,38.307934,140.702092,8719_10,,0,,,,
8721_10,,下倉,,38.315510,140.705498,8721_10,,0,,,,
8721_50,,下倉,,38.315169,140.705397,8721_50,,0,,,,
8723_10,,大倉ダム,,38.320937,140.704293,8723_10,,0,,,,
8725_10,,切払,,38.325584,140.706312,8725_10,,0,,,,
8727_10,,上山崎,,38.329658,140.703944,8727_10,,0,,,,
8729_10,,日向下,,38.332081,140.700865,8729_10,,0,,,,
8731_10,,湖畔公園前,,38.335023,140.698306,8731_10,,0,,,,
8733_10,,上原住宅前,,38.336191,140.693724,8733_10,,0,,,,
8735_10,,栗生上,,38.334426,140.689121,8735_10,,0,,,,
8737_10,,大倉ふるさとセンター前,,38.338292,140.685171,8737_10,,0,,,,
8741_10,,滝ノ上,,38.352376,140.680362,8741_10,,0,,,,
