service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
O_10_1,1,1,1,1,1,0,0,20251201,20251231
O_10_2,0,0,0,0,0,1,0,20251201,20251231
O_10_3,0,0,0,0,0,0,1,20251201,20251231
O_11_1,1,1,1,1,1,0,0,20251201,20251231
O_11_2,0,0,0,0,0,1,0,20251201,20251231
O_11_3,0,0,0,0,0,0,1,20251201,20251231
O_20_1,1,1,1,1,1,0,0,20251201,20251231
O_20_2,0,0,0,0,0,1,0,20251201,20251231
O_20_3,0,0,0,0,0,0,1,20251201,20251231
O_30_1,1,1,1,1,1,0,0,20251201,20251231
O_30_2,0,0,0,0,0,1,0,20251201,20251231
O_30_3,0,0,0,0,0,0,1,20251201,20251231
O_40_1,1,1,1,1,1,0,0,20251201,20251231
O_40_2,0,0,0,0,0,1,0,20251201,20251231
O_40_3,0,0,0,0,0,0,1,20251201,20251231
O_41_1,1,1,1,1,1,0,0,20251201,20251231
O_41_2,0,0,0,0,0,1,0,20251201,20251231
O_41_3,0,0,0,0,0,0,1,20251201,20251231
O_50_1,1,1,1,1,1,0,0,20251201,20251231
O_50_2,0,0,0,0,0,1,0,20251201,20251231
O_50_3,0,0,0,0,0,0,1,20251201,20251231
